key,scientificName,latitude,longitude,issues,datasetKey,publishingOrgKey,networkKeys,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,elevation,elevationAccuracy,stateProvince,year,month,day,eventDate,modified,lastInterpreted,license,isInCluster,datasetName,otherCatalogNumbers,recordedBy,preparations,inCluster,geodeticDatum,class,countryCode,country,identifier,recordNumber,nomenclaturalCode,verbatimEventDate,higherGeography,locality,verbatimCoordinateSystem,gbifID,collectionCode,occurrenceID,type,catalogNumber,institutionCode,fieldNotes,startDayOfYear,ownerInstitutionCode,http://unknown.org/CatalogNumberNumeric,verbatimElevation,collectionID,http://unknown.org/LatestDateCollected,coordinateUncertaintyInMeters,identifiedBy,institutionKey,county,source,infraspecificEpithet,collectionKey,municipality,eventRemarks,taxonRemarks,higherClassification,individualCount,continent,institutionID,endDayOfYear,habitat,name
574923625,Pinus tabuliformis Carri猫re,34.126944,103.414167,"gass84,inmano",bf2a4bf0-5f31-11de-b67e-b8a03c50a862,98e934b0-5f31-11de-b67e-b8a03c50a862,,f6fe707e-cced-4efc-b5dc-be4c91b8180a,GB,DWC_ARCHIVE,2022-05-19T02:00:43.123+00:00,2022-05-19T02:26:30.886+00:00,243,98e934b0-5f31-11de-b67e-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,5285359,6,7707728,194,640,3925,2684241,5285359,5285359,Pinus tabuliformis Carri猫re,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus tabuliformis,Pinus,tabuliformis,SPECIES,ACCEPTED,LC,2750,0,Gansu,2000,6,21,2000-06-21T00:00:00,2008-04-23T00:00:00.000+00:00,2022-05-19T02:26:30.886+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,Royal Botanic Garden Edinburgh Herbarium,BGBASE:227836,Sino-British Qinghai Alpine Garden Society Expedition,herbarium specimen of unspecified type,FALSE,WGS84,Pinopsida,CN,China,http://data.rbge.org.uk/herb/E00274399,366,ICBN,2000/6/21,Outer China incl. Tibet,Road (valley) from Kaba (km 111) towards Lintan.,degrees minutes seconds,574923625,E,http://data.rbge.org.uk/herb/E00274399,PhysicalObject,E00274399,E,"Evergreen coniferous tree to 15 m. 2-needled. Old cones brown, ovoid, to 4 cm. Young cones green. Open conifer and birch forest.",173,E,274399,2750 M,http://biocol.org/urn:lsid:biocol.org:col:15670,2000/6/21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinus tabuliformis Carri猫re
574816580,Pinus tabuliformis Carri猫re,36.855,102.5675,"gass84,inmano",bf2a4bf0-5f31-11de-b67e-b8a03c50a862,98e934b0-5f31-11de-b67e-b8a03c50a862,,f6fe707e-cced-4efc-b5dc-be4c91b8180a,GB,DWC_ARCHIVE,2022-05-19T02:00:43.123+00:00,2022-05-19T02:26:57.389+00:00,243,98e934b0-5f31-11de-b67e-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,5285359,6,7707728,194,640,3925,2684241,5285359,5285359,Pinus tabuliformis Carri猫re,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus tabuliformis,Pinus,tabuliformis,SPECIES,ACCEPTED,LC,2340,0,Qinghai,1997,7,24,1997-07-24T00:00:00,2016-10-19T00:00:00.000+00:00,2022-05-19T02:26:57.389+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,Royal Botanic Garden Edinburgh Herbarium,BGBASE:83089,Sino-British Qinghai Expedition 1997,fruit collection/cone collection (unmounted) (carpological collection),FALSE,WGS84,Pinopsida,CN,China,http://data.rbge.org.uk/herb/E00146302,1166,ICBN,1997/7/24,Outer China incl. Tibet,"Zhalonggou village, Zhalonggou Valley.",degrees minutes seconds,574816580,E,http://data.rbge.org.uk/herb/E00146302,PhysicalObject,E00146302,E,"Tree to 10 m. _Picea_ forest, on steep hillside.",205,E,146302,2340 M,http://biocol.org/urn:lsid:biocol.org:col:15670,1997/7/24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinus tabuliformis Carri猫re
615371202,Pinus tabuliformis Carri猫re,29.7,98.38,"gass84,inmano",82a53efc-f762-11e1-a439-00145eb45e9a,dc3f994e-bd32-4714-8d88-6fb895fb48cc,,6041076a-f762-11e1-a439-00145eb45e9a,CH,BIOCASE,2022-04-23T03:18:23.240+00:00,2022-04-26T10:22:34.546+00:00,157,dc3f994e-bd32-4714-8d88-6fb895fb48cc,PRESERVED_SPECIMEN,PRESENT,5285359,6,7707728,194,640,3925,2684241,5285359,5285359,Pinus tabuliformis Carri猫re,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus tabuliformis,Pinus,tabuliformis,SPECIES,ACCEPTED,LC,3200,NA,NA,1994,7,4,1994-07-04T00:00:00,NA,2022-04-26T10:22:34.546+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,NA,NA,A.Br盲uning,NA,FALSE,WGS84,Pinopsida,CN,China,NA,NA,NA,NA,NA,Mekong Vy.; E Tibet/Xizang Zizhiqu,NA,615371202,The Himalayan Uplands Plant database (HUP Version 1),NA,NA,GMBA-HUP-172912,GMBA,NA,NA,NA,NA,NA,NA,NA,50000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinus tabuliformis Carri猫re
615371141,Pinus tabuliformis Carri猫re,31.67,102.78,"gass84,inmano",82a53efc-f762-11e1-a439-00145eb45e9a,dc3f994e-bd32-4714-8d88-6fb895fb48cc,,6041076a-f762-11e1-a439-00145eb45e9a,CH,BIOCASE,2022-04-23T03:18:23.240+00:00,2022-04-26T10:22:36.251+00:00,157,dc3f994e-bd32-4714-8d88-6fb895fb48cc,PRESERVED_SPECIMEN,PRESENT,5285359,6,7707728,194,640,3925,2684241,5285359,5285359,Pinus tabuliformis Carri猫re,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus tabuliformis,Pinus,tabuliformis,SPECIES,ACCEPTED,LC,2850,NA,NA,1994,10,7,1994-10-07T00:00:00,NA,2022-04-26T10:22:36.251+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,NA,NA,G.&S.Miehe & U.W眉ndisch (Coll. Miehe),NA,FALSE,WGS84,Pinopsida,CN,China,NA,NA,NA,NA,NA,"Barkam - Li Xian; NW , Chengdu/Sichuan Sheng",NA,615371141,The Himalayan Uplands Plant database (HUP Version 1),NA,NA,GMBA-HUP-139294,GMBA,NA,NA,NA,NA,NA,NA,NA,10000,A. Farjon (1998-10),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinus tabuliformis Carri猫re
615371144,Pinus tabuliformis Carri猫re,31.87,102.05,"gass84,inmano",82a53efc-f762-11e1-a439-00145eb45e9a,dc3f994e-bd32-4714-8d88-6fb895fb48cc,,6041076a-f762-11e1-a439-00145eb45e9a,CH,BIOCASE,2022-04-23T03:18:23.240+00:00,2022-04-26T10:22:34.486+00:00,157,dc3f994e-bd32-4714-8d88-6fb895fb48cc,PRESERVED_SPECIMEN,PRESENT,5285359,6,7707728,194,640,3925,2684241,5285359,5285359,Pinus tabuliformis Carri猫re,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus tabuliformis,Pinus,tabuliformis,SPECIES,ACCEPTED,LC,2500,NA,NA,1994,10,2,1994-10-02T00:00:00,NA,2022-04-26T10:22:34.486+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,NA,NA,G.&S.Miehe & U.W眉ndisch (Coll. Miehe),NA,FALSE,WGS84,Pinopsida,CN,China,NA,NA,NA,NA,NA,"Gana - Barkam; NW , Dadu He/Sichuan Sheng",NA,615371144,The Himalayan Uplands Plant database (HUP Version 1),NA,NA,GMBA-HUP-138733,GMBA,NA,NA,NA,NA,NA,NA,NA,10000,A. Farjon (1998-10),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinus tabuliformis Carri猫re
2417559371,Pinus tabuliformis Carri猫re,35.36,103.7,"gass84,colmano,inmafu",3942a8dc-9f01-420d-a829-01675dc01c73,a2fa5b68-3ebf-4845-abc5-f456d251386f,,26706e39-4208-42b6-9d12-2b60b0acf1a3,CN,DWC_ARCHIVE,2022-04-24T22:52:20.107+00:00,2022-04-27T07:34:08.761+00:00,4,a2fa5b68-3ebf-4845-abc5-f456d251386f,PRESERVED_SPECIMEN,PRESENT,5285359,6,7707728,194,640,3925,2684241,5285359,5285359,Pinus tabuliformis Carri猫re,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus tabuliformis,Pinus,tabuliformis,SPECIES,ACCEPTED,LC,NA,NA,鐢樿們,1994,NA,NA,1994-01-01T00:00:00,NA,2022-04-27T07:34:08.761+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,NA,NA,鐜嬩竴宄扮瓑,NA,FALSE,WGS84,Pinopsida,CN,China,6617793,NA,NA,NA,NA,NA,NA,2417559371,NA,6617793,NA,58101,PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,ac8eb8fc-0703-4408-8388-686764b75877,搴蜂箰鍘?http://www.nsii.org.cn/2017/specimen.php?id=6617793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinus tabuliformis Carri猫re,
2417741273,Pinus tabuliformis Carri猫re,30.91,102.54,"gass84,colmano,inmafu",3942a8dc-9f01-420d-a829-01675dc01c73,a2fa5b68-3ebf-4845-abc5-f456d251386f,,26706e39-4208-42b6-9d12-2b60b0acf1a3,CN,DWC_ARCHIVE,2022-04-24T22:52:20.107+00:00,2022-04-27T07:34:06.774+00:00,4,a2fa5b68-3ebf-4845-abc5-f456d251386f,PRESERVED_SPECIMEN,PRESENT,5285359,6,7707728,194,640,3925,2684241,5285359,5285359,Pinus tabuliformis Carri猫re,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus tabuliformis,Pinus,tabuliformis,SPECIES,ACCEPTED,LC,NA,NA,鍥涘窛,1989,NA,NA,1989-01-01T00:00:00,NA,2022-04-27T07:34:06.774+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,NA,NA,璧垫竻鐩?NA,FALSE,WGS84,Pinopsida,CN,China,6647083,NA,NA,NA,NA,NA,NA,2417741273,NA,6647083,NA,28054,PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,ac8eb8fc-0703-4408-8388-686764b75877,鐞嗗幙,http://www.nsii.org.cn/2017/specimen.php?id=6647083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinus tabuliformis Carri猫re,
2417742489,Pinus tabuliformis Carri猫re,30.91,102.54,"gass84,colmano,inmafu",3942a8dc-9f01-420d-a829-01675dc01c73,a2fa5b68-3ebf-4845-abc5-f456d251386f,,26706e39-4208-42b6-9d12-2b60b0acf1a3,CN,DWC_ARCHIVE,2022-04-24T22:52:20.107+00:00,2022-04-27T07:34:09.434+00:00,4,a2fa5b68-3ebf-4845-abc5-f456d251386f,PRESERVED_SPECIMEN,PRESENT,5285359,6,7707728,194,640,3925,2684241,5285359,5285359,Pinus tabuliformis Carri猫re,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus tabuliformis,Pinus,tabuliformis,SPECIES,ACCEPTED,LC,NA,NA,鍥涘窛,1989,NA,NA,1989-01-01T00:00:00,NA,2022-04-27T07:34:09.434+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,NA,NA,璧垫竻鐩?NA,FALSE,WGS84,Pinopsida,CN,China,6647082,NA,NA,NA,NA,NA,NA,2417742489,NA,6647082,NA,28055,PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,ac8eb8fc-0703-4408-8388-686764b75877,鐞嗗幙,http://www.nsii.org.cn/2017/specimen.php?id=6647082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinus tabuliformis Carri猫re,
2417288765,Pinus tabuliformis Carri猫re,33.26,104.23,"gass84,colmano,inmafu",3942a8dc-9f01-420d-a829-01675dc01c73,a2fa5b68-3ebf-4845-abc5-f456d251386f,,26706e39-4208-42b6-9d12-2b60b0acf1a3,CN,DWC_ARCHIVE,2022-04-24T22:52:20.107+00:00,2022-04-27T07:34:03.790+00:00,4,a2fa5b68-3ebf-4845-abc5-f456d251386f,PRESERVED_SPECIMEN,PRESENT,5285359,6,7707728,194,640,3925,2684241,5285359,5285359,Pinus tabuliformis Carri猫re,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus tabuliformis,Pinus,tabuliformis,SPECIES,ACCEPTED,LC,NA,NA,鍥涘窛,1982,NA,NA,1982-01-01T00:00:00,NA,2022-04-27T07:34:03.790+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,NA,NA,鏉庢枃鍗庣瓑,NA,FALSE,WGS84,Pinopsida,CN,China,5711561,NA,NA,NA,NA,NA,NA,2417288765,NA,5711561,NA,982777,PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,ac8eb8fc-0703-4408-8388-686764b75877,涔濆娌熷幙,http://www.nsii.org.cn/2017/specimen.php?id=5711561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinus tabuliformis Carri猫re
2417289739,Pinus tabuliformis Carri猫re,33.26,104.23,"gass84,colmano,inmafu",3942a8dc-9f01-420d-a829-01675dc01c73,a2fa5b68-3ebf-4845-abc5-f456d251386f,,26706e39-4208-42b6-9d12-2b60b0acf1a3,CN,DWC_ARCHIVE,2022-04-24T22:52:20.107+00:00,2022-04-27T07:34:07.458+00:00,4,a2fa5b68-3ebf-4845-abc5-f456d251386f,PRESERVED_SPECIMEN,PRESENT,5285359,6,7707728,194,640,3925,2684241,5285359,5285359,Pinus tabuliformis Carri猫re,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus tabuliformis,Pinus,tabuliformis,SPECIES,ACCEPTED,LC,NA,NA,鍥涘窛,1982,NA,NA,1982-01-01T00:00:00,NA,2022-04-27T07:34:07.458+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,NA,NA,鏉庢枃鍗庣瓑,NA,FALSE,WGS84,Pinopsida,CN,China,5711679,NA,NA,NA,NA,NA,NA,2417289739,NA,5711679,NA,982689,PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,ac8eb8fc-0703-4408-8388-686764b75877,涔濆娌熷幙,http://www.nsii.org.cn/2017/specimen.php?id=5711679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinus tabuliformis Carri猫re
2417483354,Pinus tabuliformis Carri猫re,30.36,102.81,"gass84,colmano,inmafu",3942a8dc-9f01-420d-a829-01675dc01c73,a2fa5b68-3ebf-4845-abc5-f456d251386f,,26706e39-4208-42b6-9d12-2b60b0acf1a3,CN,DWC_ARCHIVE,2022-04-24T22:52:20.107+00:00,2022-04-27T07:34:05.458+00:00,4,a2fa5b68-3ebf-4845-abc5-f456d251386f,PRESERVED_SPECIMEN,PRESENT,5285359,6,7707728,194,640,3925,2684241,5285359,5285359,Pinus tabuliformis Carri猫re,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus tabuliformis,Pinus,tabuliformis,SPECIES,ACCEPTED,LC,NA,NA,鍥涘窛,1982,NA,NA,1982-01-01T00:00:00,NA,2022-04-27T07:34:05.458+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,NA,NA,绋嬪瓙鐧?NA,FALSE,WGS84,Pinopsida,CN,China,6678724,NA,NA,NA,NA,NA,NA,2417483354,NA,6678724,NA,1546382,PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,ac8eb8fc-0703-4408-8388-686764b75877,瀹濆叴鍘?http://www.nsii.org.cn/2017/specimen.php?id=6678724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinus tabuliformis Carri猫re,,
2417485056,Pinus tabuliformis Carri猫re,30.36,102.81,"gass84,colmano,inmafu",3942a8dc-9f01-420d-a829-01675dc01c73,a2fa5b68-3ebf-4845-abc5-f456d251386f,,26706e39-4208-42b6-9d12-2b60b0acf1a3,CN,DWC_ARCHIVE,2022-04-24T22:52:20.107+00:00,2022-04-27T07:34:05.372+00:00,4,a2fa5b68-3ebf-4845-abc5-f456d251386f,PRESERVED_SPECIMEN,PRESENT,5285359,6,7707728,194,640,3925,2684241,5285359,5285359,Pinus tabuliformis Carri猫re,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus tabuliformis,Pinus,tabuliformis,SPECIES,ACCEPTED,LC,NA,NA,鍥涘窛,1982,NA,NA,1982-01-01T00:00:00,NA,2022-04-27T07:34:05.372+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,NA,NA,绋嬪瓙鐧?NA,FALSE,WGS84,Pinopsida,CN,China,6678725,NA,NA,NA,NA,NA,NA,2417485056,NA,6678725,NA,1546381,PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,ac8eb8fc-0703-4408-8388-686764b75877,瀹濆叴鍘?http://www.nsii.org.cn/2017/specimen.php?id=6678725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinus tabuliformis Carri猫re,,
1020041284,Pinus tabuliformis var. tabuliformis,29.47,101.52,"gass84,colmafu,inmafu",cd6e21c8-9e8a-493a-8a76-fbf7862069e5,061b4f20-f241-11da-a328-b8a03c50a862,,996e30f8-f762-11e1-a439-00145eb45e9a,GB,DWC_ARCHIVE,2022-04-22T09:53:15.711+00:00,2022-04-27T08:08:24.746+00:00,153,061b4f20-f241-11da-a328-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,7230691,6,7707728,194,640,3925,2684241,5285359,7230691,Pinus tabuliformis var. tabuliformis,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus tabuliformis,Pinus,tabuliformis,VARIETY,ACCEPTED,LC,3600,NA,NA,1981,9,15,1981-09-15T00:00:00,NA,2022-04-27T08:08:24.746+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,NA,NA,"Lancaster, C.R.",NA,FALSE,WGS84,Pinopsida,CN,China,K000554011,950,NA,NA,Daxue Shan,valley of Pi Ho,NA,1020041284,Herbarium,http://specimens.kew.org/herbarium/K000554011,NA,K000554011,K,NA,NA,NA,NA,NA,NA,NA,NA,"Farjon, A.",fa252605-26f6-426c-9892-94d071c2c77f,NA,NA,tabuliformis,dceb8d52-094c-4c2c-8960-75e0097c6861,Daxue Shan,"tree 6 m tall, with seed cones",Taxonomic status: accepted,PINACEAE,NA,NA,NA,NA,NA,Pinus tabuliformis var. tabuliformis
1020041298,Pinus tabuliformis var. tabuliformis,29.47,101.52,"gass84,colmafu,inmafu",cd6e21c8-9e8a-493a-8a76-fbf7862069e5,061b4f20-f241-11da-a328-b8a03c50a862,,996e30f8-f762-11e1-a439-00145eb45e9a,GB,DWC_ARCHIVE,2022-04-22T09:53:15.711+00:00,2022-04-27T08:08:25.131+00:00,153,061b4f20-f241-11da-a328-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,7230691,6,7707728,194,640,3925,2684241,5285359,7230691,Pinus tabuliformis var. tabuliformis,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus tabuliformis,Pinus,tabuliformis,VARIETY,ACCEPTED,LC,3800,NA,NA,1981,9,17,1981-09-17T00:00:00,NA,2022-04-27T08:08:25.131+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,NA,NA,"Lancaster, C.R.",NA,FALSE,WGS84,Pinopsida,CN,China,K000554012,1024,NA,NA,Daxue Shan,valley of Pa La Ho,NA,1020041298,Herbarium,http://specimens.kew.org/herbarium/K000554012,NA,K000554012,K,NA,NA,NA,NA,NA,NA,NA,NA,"Farjon, A.",fa252605-26f6-426c-9892-94d071c2c77f,NA,NA,tabuliformis,dceb8d52-094c-4c2c-8960-75e0097c6861,Daxue Shan,tree 15 m tall,Taxonomic status: accepted,PINACEAE,NA,NA,NA,NA,NA,Pinus tabuliformis var. tabuliformis
919490177,Pinus tabuliformis Carri猫re,27.2822,100.85195,"cdround,gass84,txmatfuz,colmano,inmafu",1b412457-43cf-4a6f-b5c2-7acf01be5977,a2fa5b68-3ebf-4845-abc5-f456d251386f,,26706e39-4208-42b6-9d12-2b60b0acf1a3,CN,DWC_ARCHIVE,2022-04-22T08:38:48.370+00:00,2022-04-27T07:26:39.246+00:00,129,a2fa5b68-3ebf-4845-abc5-f456d251386f,PRESERVED_SPECIMEN,PRESENT,5285359,6,7707728,194,640,3925,2684241,5285359,5285359,Pinus tabuliformis Carri猫re,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus tabuliformis,Pinus,tabuliformis,SPECIES,ACCEPTED,LC,NA,NA,浜戝崡,1981,NA,NA,1981-01-01T00:00:00,NA,2022-04-27T07:26:39.246+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,NA,NA,闊╄涓扮瓑,NA,FALSE,WGS84,Pinopsida,CN,China,5711557,NA,NA,NA,NA,瀹佹氮鍚庡北,NA,919490177,NA,5711557,NA,e217ea94-b6bf-11e1-8c2f-acd112e444a7,PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,ac8eb8fc-0703-4408-8388-686764b75877,瀹佽挆褰濇棌鑷不鍘?http://www.nsii.org.cn/node/79/cvh/44/5ed/5711557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinus tabuliformis Carri猫re,
