id,institutionCode,basisOfRecord,source,occurrenceID,catalogNumber,recordedBy,year,country,countryCode,stateProvince,county,locality,latitude,longitude,scientificName,kingdom,family,genus,Shape_Leng,Shape_Area
6665904,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/66e/6665904,6665904,dbbd2e92-b6bf-11e1-8c2f-acd112e444a7,,1940,CN,CN,云南,德钦县,,28.4861098,98.9115429,Pinus yunnanensis,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6665907,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/c01/6665907,6665907,dbbd2d3f-b6bf-11e1-8c2f-acd112e444a7,,1940,CN,CN,云南,贡山独龙族怒族自治县,,27.7407357,98.6658204,Pinus yunnanensis,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6665927,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/dc3/6665927,6665927,dbbd2462-b6bf-11e1-8c2f-acd112e444a7,,1940,CN,CN,云南,贡山独龙族怒族自治县,,27.7407357,98.6658204,Pinus yunnanensis,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6666942,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/0ba/6666942,6666942,dbbb47a4-b6bf-11e1-8c2f-acd112e444a7,W.C.Cheng,1930,CN,CN,四川,康定县,,30.0553048,101.9648302,Pinus yunnanensis,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6668499,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/d97/6668499,6668499,dbb893c3-b6bf-11e1-8c2f-acd112e444a7,方文培,1926,CN,CN,四川,松潘县,,32.6379835,103.5989499,Pinus massoniana,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6670500,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/da4/6670500,6670500,dbb51bdc-b6bf-11e1-8c2f-acd112e444a7,,1943,CN,CN,云南,中甸县,桥顶端平埸,27.8230796,99.7060132,Pinus densata,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6670504,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/225/6670504,6670504,dbb51a0b-b6bf-11e1-8c2f-acd112e444a7,W.C.Cheng,1930,CN,CN,四川,康定县,西康,30.0553048,101.9648302,Pinus densata,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6670516,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/6d2/6670516,6670516,dbb514c1-b6bf-11e1-8c2f-acd112e444a7,W.C.Cheng,1930,CN,CN,四川,康定县,西康,30.0553048,101.9648302,Pinus densata,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6670537,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/0a2/6670537,6670537,dbb50b9a-b6bf-11e1-8c2f-acd112e444a7,T.T.Yu,1933,CN,CN,四川,松潘县,,32.6379835,103.5989499,Pinus densata,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6670572,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/76f/6670572,6670572,dbb4fc2f-b6bf-11e1-8c2f-acd112e444a7,T.T.Yu,1933,CN,CN,四川,汶川县,,31.084,103.267,Pinus densata,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6670575,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/8a7/6670575,6670575,dbb4facf-b6bf-11e1-8c2f-acd112e444a7,K.T.Fu,1937,CN,CN,四川,松潘县,公岗岭,32.6379835,103.5989499,Pinus densata,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6670577,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/c4c/6670577,6670577,dbb4f9f3-b6bf-11e1-8c2f-acd112e444a7,,1940,CN,CN,四川,康定县,西康毛牛出日,30.0553048,101.9648302,Pinus densata,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6670584,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/cd6/6670584,6670584,dbb4f6e6-b6bf-11e1-8c2f-acd112e444a7,W.C.Cheng,1930,CN,CN,四川,康定县,西康,30.0553048,101.9648302,Pinus densata,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6670600,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/cf5/6670600,6670600,dbb4efcb-b6bf-11e1-8c2f-acd112e444a7,W.C.Cheng,1930,CN,CN,四川,松潘县,,32.6379835,103.5989499,Pinus densata,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6670608,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/c16/6670608,6670608,dbb4ec3a-b6bf-11e1-8c2f-acd112e444a7,W.C.Cheng,1930,CN,CN,四川,汶川县,N.W.Wenchuan of szechuan,31.084,103.267,Pinus densata,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6671215,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/b8f/6671215,6671215,dbb3d799-b6bf-11e1-8c2f-acd112e444a7,,1940,CN,CN,云南,维西傈僳族自治县,,27.1771659,99.2871702,Pinus armandii,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6671296,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/e48/6671296,6671296,dbb3b3ed-b6bf-11e1-8c2f-acd112e444a7,W.P.Fang,1928,CN,CN,四川,泸定县,,29.9141554,102.2346175,Pinus armandii,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6671299,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/64d/6671299,6671299,dbb3b2a2-b6bf-11e1-8c2f-acd112e444a7,Harry Smith,1934,CN,CN,四川,康定县,,30.0553048,101.9648302,Pinus armandii,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6671302,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/5a3/6671302,6671302,dbb3b159-b6bf-11e1-8c2f-acd112e444a7,T.T.Yu,1933,CN,CN,四川,茂县,,31.6811501,103.8534808,Pinus armandii,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6671307,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/1f1/6671307,6671307,dbb3af34-b6bf-11e1-8c2f-acd112e444a7,郑万钧,1931,CN,CN,四川,汶川县,,31.084,103.267,Pinus armandii,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6671344,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/a08/6671344,6671344,dbb39eec-b6bf-11e1-8c2f-acd112e444a7,,1940,CN,CN,四川,康定县,西康里,30.0553048,101.9648302,Pinus armandii,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6665904,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/66e/6665904,6665904,dbbd2e92-b6bf-11e1-8c2f-acd112e444a7,,1940,CN,CN,云南,德钦县,,28.4861098,98.9115429,Pinus yunnanensis,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6665907,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/c01/6665907,6665907,dbbd2d3f-b6bf-11e1-8c2f-acd112e444a7,,1940,CN,CN,云南,贡山独龙族怒族自治县,,27.7407357,98.6658204,Pinus yunnanensis,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6665927,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/dc3/6665927,6665927,dbbd2462-b6bf-11e1-8c2f-acd112e444a7,,1940,CN,CN,云南,贡山独龙族怒族自治县,,27.7407357,98.6658204,Pinus yunnanensis,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6666942,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/0ba/6666942,6666942,dbbb47a4-b6bf-11e1-8c2f-acd112e444a7,W.C.Cheng,1930,CN,CN,四川,康定县,,30.0553048,101.9648302,Pinus yunnanensis,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6668499,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/d97/6668499,6668499,dbb893c3-b6bf-11e1-8c2f-acd112e444a7,方文培,1926,CN,CN,四川,松潘县,,32.6379835,103.5989499,Pinus massoniana,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6670500,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/da4/6670500,6670500,dbb51bdc-b6bf-11e1-8c2f-acd112e444a7,,1943,CN,CN,云南,中甸县,桥顶端平埸,27.8230796,99.7060132,Pinus densata,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6670504,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/225/6670504,6670504,dbb51a0b-b6bf-11e1-8c2f-acd112e444a7,W.C.Cheng,1930,CN,CN,四川,康定县,西康,30.0553048,101.9648302,Pinus densata,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6670516,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/6d2/6670516,6670516,dbb514c1-b6bf-11e1-8c2f-acd112e444a7,W.C.Cheng,1930,CN,CN,四川,康定县,西康,30.0553048,101.9648302,Pinus densata,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6670537,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/0a2/6670537,6670537,dbb50b9a-b6bf-11e1-8c2f-acd112e444a7,T.T.Yu,1933,CN,CN,四川,松潘县,,32.6379835,103.5989499,Pinus densata,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6670572,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/76f/6670572,6670572,dbb4fc2f-b6bf-11e1-8c2f-acd112e444a7,T.T.Yu,1933,CN,CN,四川,汶川县,,31.084,103.267,Pinus densata,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6670575,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/8a7/6670575,6670575,dbb4facf-b6bf-11e1-8c2f-acd112e444a7,K.T.Fu,1937,CN,CN,四川,松潘县,公岗岭,32.6379835,103.5989499,Pinus densata,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6670577,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/c4c/6670577,6670577,dbb4f9f3-b6bf-11e1-8c2f-acd112e444a7,,1940,CN,CN,四川,康定县,西康毛牛出日,30.0553048,101.9648302,Pinus densata,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6670584,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/cd6/6670584,6670584,dbb4f6e6-b6bf-11e1-8c2f-acd112e444a7,W.C.Cheng,1930,CN,CN,四川,康定县,西康,30.0553048,101.9648302,Pinus densata,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6670600,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/cf5/6670600,6670600,dbb4efcb-b6bf-11e1-8c2f-acd112e444a7,W.C.Cheng,1930,CN,CN,四川,松潘县,,32.6379835,103.5989499,Pinus densata,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6670608,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/c16/6670608,6670608,dbb4ec3a-b6bf-11e1-8c2f-acd112e444a7,W.C.Cheng,1930,CN,CN,四川,汶川县,N.W.Wenchuan of szechuan,31.084,103.267,Pinus densata,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6671215,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/b8f/6671215,6671215,dbb3d799-b6bf-11e1-8c2f-acd112e444a7,,1940,CN,CN,云南,维西傈僳族自治县,,27.1771659,99.2871702,Pinus armandii,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6671296,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/e48/6671296,6671296,dbb3b3ed-b6bf-11e1-8c2f-acd112e444a7,W.P.Fang,1928,CN,CN,四川,泸定县,,29.9141554,102.2346175,Pinus armandii,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6671299,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/64d/6671299,6671299,dbb3b2a2-b6bf-11e1-8c2f-acd112e444a7,Harry Smith,1934,CN,CN,四川,康定县,,30.0553048,101.9648302,Pinus armandii,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6671302,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/5a3/6671302,6671302,dbb3b159-b6bf-11e1-8c2f-acd112e444a7,T.T.Yu,1933,CN,CN,四川,茂县,,31.6811501,103.8534808,Pinus armandii,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6671307,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/1f1/6671307,6671307,dbb3af34-b6bf-11e1-8c2f-acd112e444a7,郑万钧,1931,CN,CN,四川,汶川县,,31.084,103.267,Pinus armandii,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
6671344,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/a08/6671344,6671344,dbb39eec-b6bf-11e1-8c2f-acd112e444a7,,1940,CN,CN,四川,康定县,西康里,30.0553048,101.9648302,Pinus armandii,Plantae,Pinaceae,Pinus,10093966.1,3.08344E+12
